StartDate,EndDate,Status,IPAddress,Progress,Durationinseconds,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent,gender,gender_3_TEXT,age,SM_use,SM_use_freq_1,SM_use_freq_2,SM_use_freq_3,SM_use_freq_4,SM_use_freq_5,SM_use_freq_6,SM_use_freq_7,SM_use_freq_8,SM_use_freq_9,SM_use_freq_10,SM_use_freq_11,education,employment,employment_8_TEXT,income,partisanship,state,Timer1_FirstClick,Timer1_LastClick,Timer1_PageSubmit,Timer1_ClickCount,share_intent1,Credibility1_1,Credibility1_2,Credibility1_3,Credibility1_4,Newsworthiness1_1,Newsworthiness1_2,Newsworthiness1_3,Newsworthiness1_4,Trustworthy_C1_1_1,Honest_C2_1_1,Reliable_C3_1_1,newsworth_feed1_1,newsworth_feed1_2,newsworth_feed1_3,newsworth_feed1_4,newsworth_feed1_5,attn_1_1,Timer2_FirstClick,Timer2_LastClick,Timer2_PageSubmit,Timer2_ClickCount,share_intent2,Credibility2_1,Credibility2_2,Credibility2_3,Credibility2_4,Newsworthiness2_1,Newsworthiness2_2,Newsworthiness2_3,Newsworthiness2_4,Trustworthy_C1_2_1,Honest_C2_2_1,Reliable_C3_2_1,newsworth_feed2_1,newsworth_feed2_2,newsworth_feed2_3,newsworth_feed2_4,newsworth_feed2_5,attn_1_2,Timer3_FirstClick,Timer3_LastClick,Timer3_PageSubmit,Timer3_ClickCount,share_intent3,Credibility3_1,Credibility3_2,Credibility3_3,Credibility3_4,Newsworthiness3_1,Newsworthiness3_2,Newsworthiness3_3,Newsworthiness3_4,Trustworthy_C1_3_1,Honest_C2_3_1,Reliable_C3_3_1,newsworth_feed3_1,newsworth_feed3_2,newsworth_feed3_3,newsworth_feed3_4,newsworth_feed3_5,attn_1_3,Timer4_FirstClick,Timer4_LastClick,Timer4_PageSubmit,Timer4_ClickCount,share_intent4,Credibility4_1,Credibility4_2,Credibility4_3,Credibility4_4,Newsworthiness4_1,Newsworthiness4_2,Newsworthiness4_3,Newsworthiness4_4,Trustworthy_C1_4_1,Honest_C2_4_1,Reliable_C3_4_1,newsworth_feed4_1,newsworth_feed4_2,newsworth_feed4_3,newsworth_feed4_4,newsworth_feed4_5,attn_1_4,Timer5_FirstClick,Timer5_LastClick,Timer5_PageSubmit,Timer5_ClickCount,share_intent5,Credibility5_1,Credibility5_2,Credibility5_3,Credibility5_4,Newsworthiness5_1,Newsworthiness5_2,Newsworthiness5_3,Newsworthiness5_4,Trustworthy_C1_5_1,Honest_C2_5_1,Reliable_C3_5_1,newsworth_feed5_1,newsworth_feed5_2,newsworth_feed5_3,newsworth_feed5_4,newsworth_feed5_5,attn_1_5,Timer6_FirstClick,Timer6_LastClick,Timer6_PageSubmit,Timer6_ClickCount,share_intent6,Credibility6_1,Credibility6_2,Credibility6_3,Credibility6_4,Newsworthiness6_1,Newsworthiness6_2,Newsworthiness6_3,Newsworthiness6_4,Trustworthy_C1_6_1,Honest_C2_6_1,Reliable_C3_6_1,newsworth_feed6_1,newsworth_feed6_2,newsworth_feed6_3,newsworth_feed6_4,newsworth_feed6_5,attn_1_6,Timer7_FirstClick,Timer7_LastClick,Timer7_PageSubmit,Timer7_ClickCount,share_intent7,Credibility7_1,Credibility7_2,Credibility7_3,Credibility7_4,Newsworthiness7_1,Newsworthiness7_2,Newsworthiness7_3,Newsworthiness7_4,Trustworthy_C1_7_1,Honest_C2_7_1,Reliable_C3_7_1,newsworth_feed7_1,newsworth_feed7_2,newsworth_feed7_3,newsworth_feed7_4,newsworth_feed7_5,attn_1_7,Timer8_FirstClick,Timer8_LastClick,Timer8_PageSubmit,Timer8_ClickCount,share_intent8,Credibility8_1,Credibility8_2,Credibility8_3,Credibility8_4,Newsworthiness8_1,Newsworthiness8_2,Newsworthiness8_3,Newsworthiness8_4,Trustworthy_C1_8_1,Honest_C2_8_1,Reliable_C3_8_1,newsworth_feed8_1,newsworth_feed8_2,newsworth_feed8_3,newsworth_feed8_4,newsworth_feed8_5,attn_1_8,news_per_pre_self_1,news_per_pre_self_2,news_per_pre_self_3,news_per_pre_self_4,news_per_pre_self_5,news_per_pre_self_6,news_per_pre_self_7,news_per_pre_self_8,news_per_pre_self_9,news_per_pre_self_10,news_per_pre_self_11,news_per_pre_social_1,news_per_pre_social_2,news_per_pre_social_3,news_per_pre_social_4,news_per_pre_social_5,news_per_pre_social_6,news_per_pre_social_7,news_per_pre_social_8,news_per_pre_social_9,news_per_pre_social_10,news_per_pre_social_11,news_consump_sources_1,news_consump_sources_2,news_consump_sources_3,news_consump_sources_4,news_consump_sources_5,news_consump_sources_6,news_consump_sources_7,news_consump_sources_8,news_consump_sources_9,news_consump_sources_10,news_consump_sources_11,NewsSharing_SM,NewsCred_SM,GenTech_op,AI_acceptance,yiyan1_NFO_1,yiyan1_NFO_2,yiyan1_NFO_3,yiyan1_NFO_4,yiyan1_NFO_5,yiyan1_NFO_6,yiyan2_pub_int_1,yiyan2_pub_int_2,yiyan2_pub_int_3,yiyan2_pub_int_4,yiyan2_pub_int_5,yiyan2_pub_int_6,yiyan3_alg_know_1,yiyan3_alg_know_2,yiyan3_alg_know_3,yiyan3_alg_know_4,yiyan3_alg_know_5,yiyan3_alg_know_6,yiyan3_alg_know_7,yiyan3_alg_know_8,yiyan3_alg_know_9,yiyan3_alg_know_10,yiyan3_alg_know_11,yiyan4_aware,yiyan5_alg_aware_1_1,yiyan5_alg_aware_1_2,yiyan5_alg_aware_1_3,yiyan5_alg_aware_1_4,yiyan5_alg_aware_1_5,yiyan5_alg_aware_1_6,yiyan5_alg_aware_1_7,yiyan5_alg_aware_2_1,yiyan5_alg_aware_2_2,yiyan5_alg_aware_2_3,yiyan5_alg_aware_2_4,yiyan6_attitude,yiyan7_fami_program_1,yiyan7_fami_program_2,yiyan7_fami_program_3,yiyan7_fami_program_4,yiyan7_fami_program_5,yiyan7_fami_program_6,yiyan7_fami_program_7,intro1_1,con1_2,con2_1,con2_2,con3_exp,con3_1,con3_2,con4_exp,con4_1,con4_2,con5_1,con5_2,con6_1,con6_2,personalization_awar,news_per_post_self_1,news_per_post_self_2,news_per_post_self_3,news_per_post_self_4,news_per_post_self_5,news_per_post_self_6,news_per_post_self_7,news_per_post_self_8,news_per_post_self_9,news_per_post_self_10,news_per_post_self_11,news_per_post_social_1,news_per_post_social_2,news_per_post_social_3,news_per_post_social_4,news_per_post_social_5,news_per_post_social_6,news_per_post_social_7,news_per_post_social_8,news_per_post_social_9,news_per_post_social_10,news_per_post_social_11,feed_typefour,valence,feed_type,share_all,Credibility_1,Credibility_2,Credibility_3,Credibility_4,NW_1,NW_2,NW_3,NW_4,credavg_all,nwavg_all
8/21/23 11:00,8/21/23 11:09,0,116.78.80.84,100,528,1,8/21/23 11:09,R_2S8nqH9L23UKgY5, , , , ,39.1488,117.1762,anonymous,ZH-S, , , , , ,1,1, ,1990,2,4,4,6,2,4,2,6,5,5,4,2,4,2, ,9,15,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,.689,63.459,64.048,31,5,4,4,4,5,2,4,5,4,7,6,8,5,4,3,4,2,2,4,5,5,4,4,4,4,4,5,3,5,4,5,5,4,4,4,4,4,5,3,5,3,4,2,2,5,3,4,3,4,3,2,2,1,2,2,9,10,9,9,9,8,5,4,4,4,2,2,2,2,2,2,2,1,1,2,2,2,1,9,2,1,2,2,2,2,1,2,1,2,1,4,3,5,4,3,2,4,4, , , , , , , , , , , , , , ,4,4,5,5, ,4,4,4,4,5,3,5,4,5,5, ,5,4,4,4,5,3,5,4,2,ad,5,4,4,4,5,2,4,5,4,4.25,3.75
8/21/23 11:04,8/21/23 11:09,0,117.44.141.27,100,330,1,8/21/23 11:09,R_3DheX4ihhQIWFhE, , , , ,28.6796,115.8655,anonymous,ZH-S, , , , , ,1,1, ,1999,1,5,1,5,4,2,2,6,5,5,1,2,5,2, ,2,15,51, , , , , , , , , , , , , , , , , , , , , , ,.77,24.575,25.248,20,4,4,3,5,4,4,3,4,3,7,8,8,4,4,3,4,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3,5,3,3,5,3,5,5,4,4,3,5,3,4,5,2,4,4,3,4,5,4,5,4,3,3,3,4,4,5,3,2,1,2,1,1,8,10,9,9,9,9,4,3,3,5,3,2,1,1,2,2,2,2,2,1,2,2,1,9,2,1,2,2,2,2,2,2,2,2,2,3,4,3,2,3,5,4,5, , , , , , , , , , , , , , ,4,5,5,4, ,3,5,5,3,4,5,5,4,2,3, ,5,3,4,5,5,4,4,2,1,memes,4,4,3,5,4,4,3,4,3,4,3.5
8/21/23 10:59,8/21/23 11:10,0,120.85.105.222,100,686,1,8/21/23 11:10,R_3sjitRrqU1vHMOp, , , , ,23.1181,113.2539,anonymous,ZH-S, , , , , ,1,1, ,1998,1,2,1,5,1,1,2,6,4,6,4,6,5,1, ,4,5,47,0,0,23.438,0,1,1,3,1,1,1,1,1,2,1,1,1,5,2,1,3,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5,1,2,4,5,4,4,4,3,3,3,5,3,3,4,5,4,3,4,4,2,2,3,1,1,2,1,1,4,4,3,3,1,3,1,1,8,9,9,9,10,6,4,4,4,4,1,2,1,2,2,1,2,2,1,1,2,2,1,10,2,2,1,2,1,1,2,1,2,1,2,2,5,2,1,1,1,4,4, , , , , , , , , , , , , , ,5,4,5,1, ,3,5,4,4,4,3,2,3,5,2, ,4,5,5,3,3,4,1,1,1,news,1,1,3,1,1,1,1,1,2,1.5,1.25
8/21/23 10:57,8/21/23 11:16,0,39.154.20.128,100,1114,1,8/21/23 11:16,R_2rIthKuJXh1Ewbx, , , , ,40.812,111.6455,anonymous,ZH-S, , , , , ,1,2, ,1973,2,2,2,6,6,6,2,2,2,2,2,2,3,1, ,4,15,65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.926,80.152,86.537,8,4,4,4,4,4,4,3,3,3,6,7,7,4,4,3, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,5,5,4,5,5,5,5,4,4,5,4,5,4,4,5,5,5,4,3,4,3,3,5,5,5,5,5,5,4,3,3,1,3,9,9,9,9,9,8,4,3,4,3,2,2,2,1,1,2,2,2,1,1,2,2,1,10,2,1,2,2,1,1,1,1,2,1,2,3,4,3,2,3,2,4,3, , , , , , , , , , , , , , ,2,3,4,5, ,5,4,4,4,5,5,4,4,4,5, ,5,4,5,5,5,5,4,2,2,memes,4,4,4,4,4,4,3,3,3,4,3.25
8/21/23 11:06,8/21/23 11:18,0,36.56.246.251,100,674,1,8/21/23 11:18,R_1Cp8fXgqwVQUXAm, , , , ,31.7279,116.5157,anonymous,ZH-S, , , , , ,1,1, ,1997,8,1,1,6,1,1,1,4,1,6,1,4,4,2, ,9,15,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,21.307,0,4,3,3,3,3,3,3,3,3,5,5,5,3,3,3,3,3,2, , , , , , , , , , , , , , , , , , , , , , ,3,5,4,4,3,5,5,3,4,3,4,3,5,4,4,3,5,5,3,3,3,4,1,2,1,1,1,1,1,1,1,1,2,5,3,3,2,8,8,8,8,8,8,3,3,3,3,3,2,2,2,2,2,2,2,1,1,2,2,1,8,1,1,2,2,1,1,2,2,1,1,1,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , ,3,3,3,3, ,3,3,3,3,3,3,3,3,3,3, ,3,3,3,3,3,3,3,3,2,act,4,3,3,3,3,3,3,3,3,3,3
8/21/23 11:11,8/21/23 11:28,0,182.114.26.89,100,1049,1,8/21/23 11:28,R_1jppfWn1Ya7zGWF, , , , ,34.7732,113.722,anonymous,ZH-S, , , , , ,1,1, ,2000,1,6,2,6,6,6,4,6,2,6,6,6,6,1, ,3,15,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.616,16.941,21.409,6,5,3,4,2,2,2,5,4,5,4,5,3,2,3,4,4,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,4,4,5,3,3,2,5,2,5,4,5,4,5,4,5,3,3,5,4,5,3,5,2,2,2,5,5,5,5,3,5,2,4,1,2,9,10,10,10,10,7,4,4,5,4,1,2,2,2,3,2,2,1,2,2,2,3,3,9,2,2,2,2,2,2,1,2,2,2,2,4,5,5,4,3,5,4,3, , , , , , , , , , , , , , ,5,4,5,5, ,4,5,5,3,2,2,3,4,5,4, ,4,3,5,3,4,4,3,2,2,memes,5,3,4,2,2,2,5,4,5,2.75,4
8/21/23 11:25,8/21/23 11:35,0,120.229.214.7,100,592,1,8/21/23 11:35,R_tLEobJFkouIg6c1, , , , ,23.5492,116.3617,anonymous,ZH-S, , , , , ,1,2, ,1986,2,5,5,6,5,5,4,4,4,4,4,5,6,1, ,4,15,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,39.515,0,4,4,3,3,2,4,4,4,3,6,6,6,4,3,4,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,2,4,4,4,5,5,4,3,2,2,1,1,9,8,10,8,8,9,4,4,3,3,1,2,2,2,2,2,2,2,1,1,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,3,5,4,4, , , , , , , , , , , , , , ,4,4,4,5, ,4,4,5,4,5,4,5,5,5,5, ,5,5,5,5,5,5,5,4,1,ad,4,4,3,3,2,4,4,4,3,3,3.75
8/21/23 12:28,8/21/23 12:35,0,59.35.156.9,100,447,1,8/21/23 12:35,R_2azC1VcD8fSzpXh, , , , ,23.5019,113.2537,anonymous,ZH-S, , , , , ,1,2, ,2002,1,1,4,6,4,4,1,4,1,5,2,2,5,7, ,1,5,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.448,34.887,38.61,10,3,2,3,4,2,4,4,4,2,4,6,6,4,4,4,4,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,5,4,2,4,5,2,5,2,5,4,4,5,4,4,4,4,2,5,4,4,1,2,1,2,4,4,4,5,5,3,5,3,4,3,3,9,7,9,9,10,8,3,5,2,3,2,2,2,2,2,2,2,2,1,2,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,2,1,4,4, , , , , , , , , , , , , , ,2,3,5,4, ,3,5,4,2,4,2,4,4,4,5, ,5,4,3,4,4,5,4,4,1,ad,3,2,3,4,2,4,4,4,2,2.75,3.5
8/21/23 13:32,8/21/23 13:42,0,120.243.194.224,100,578,1,8/21/23 13:42,R_3HnyDMER7IpRfgR, , , , ,39.1488,117.1762,anonymous,ZH-S, , , , , ,1,1, ,1987,1,5,5,6,1,6,6,6,1,6,6,6,6,1, ,4,15,40, , , , , , , , , , , , , , , , , , , , , , ,1.456,32.978,34.281,10,4,3,3,3,4,4,3,4,3,6,6,6,3,3,4,3,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,5,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,1,1,3,1,1,8,9,8,8,8,9,4,4,4,4,1,2,2,2,2,1,2,1,1,1,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,3,5,5,5,4,4,4,4, , , , , , , , , , , , , , ,5,4,4,4, ,5,4,5,5,5,5,5,4,4,4, ,5,4,5,5,5,5,5,2,1,memes,4,3,3,3,4,4,3,4,3,3.25,3.5
8/21/23 13:35,8/21/23 13:52,0,117.136.23.112,100,1019,1,8/21/23 13:52,R_8zR1kN5EVnGkgVj, , , , ,32.0355,112.149,anonymous,ZH-S, , , , , ,1,2, ,2004,1,2,6,6,2,6,2,6,2,5,4,1,3,7, ,9,5,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.379,26.446,27.592,20,4,4,3,3,3,4,4,4,5,7,6,7,3,3,4,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,3,4,3,4,3,4,3,4,3,4,5,5,5,3,4,5,4,5,4,2,4,1,2,4,4,4,5,5,5,3,2,2,1,2,9,9,9,9,8,9,3,3,4,3,3,2,2,2,3,3,2,2,1,3,2,2,1,8,2,2,2,2,1,1,2,2,2,2,2,4,3,3,4,3,5,4,4, , , , , , , , , , , , , , ,4,3,4,4, ,3,3,3,4,4,4,5,4,5,5, ,5,4,5,4,4,5,5,1,2,news,4,4,3,3,3,4,4,4,5,3.25,4.25
